Region,Data Years,Age,Conflict/Country Name,Start-Year,Casualties,IDP (2014),Refugees隷(2013),Intensity,Alias/Keywords,Categories,2012 Casualties,2013 Casualties,2014 Casualties,2012 IDP,2013 IDP,2014 IDP,2012 New Refugees,2013 New Refugees,2014 New Refugees
Caribbean and the Americas,2012_研,5,Central America (Northern Triangle),2010,76000,x,x,Medium,Northern Triangle,Criminal Violence,16000,15000,15000,x,x,x,x,x,x
Caribbean and the Americas,1997_研,52,Colombia,1963,76950,5745200,780744,Medium,Colombia Conflict$ Colombia Civil Conflict,Foreign War$ Criminal Violence,800,1000,550,4700000,5000000,5745200,3673,2436,x
Caribbean and the Americas,1997_研2013,20,Peru (Shining Path),1995,669,150000 (2013),x,Archived,Shining Path$ Communist Party of Peru,Civil War$ Terrorism,30,14,x,x,150000,x,x,x,x
Caribbean and the Americas,2010_研,9,Mexico (Cartels),2006,92339,160000,13024,Medium,Mexican Cartels$ Mexican Trafickers$ Golden Triangle$ Operation Secure Mexico$ Northern border Initiative,Criminal Violence,12000,18000,15000,160000,160000,160000,568,184,x
East Asia and Australasia,1997_研,30,Myanmar,1985,17260,643000,x,Medium,Internal Conflict in Myanmar$ Saffron Revolution$ National League for Democracy$ Union Solidarity and Development Party,Ethnic Conflict$ Civil War,650,150,300,458000,640767,643000,19357,83177,x
East Asia and Australasia,1997_研,31,Philippines (MILF),1984,73500,  115772 (2013),x,Low,Moro Islamic Liberation Front$ Basilan Beheading incident$ Mamasapano Clash$ Insurgency in the Philippines,Separatist Conflict$ ,70,250,175,7000,115772,x,x,x,x
East Asia and Australasia,1997_研2002$ 2004$ 2007_研,24,China (Xinjiang),1991,2892,x,x,Medium,Xinjiang Conflict$ Xinjiang Unrest$ Xinjiang Violence$ Xinjiang Riots$ Xinjiang Ethnic Tensions,Ethnic Conflict$ Terrorism$ Separatist Conflict,40,140,400,x,x,x,x,x,x
East Asia and Australasia,1997_研2014,50,Indonesia (West Papua),1965,30249,x,x,Archived,Free West Papua$ Free Papua Movement$ Papua Conflict,Separatist Conflict$ ,40,25,3,x,x,x,x,x,x
East Asia and Australasia,1997$ 2000_研,46,Philippines (NPA),1969,41710,x,x,Low,New People's Army$ Communist Party of the Philippines,Terrorism$ Civil War$,200,150,150,7000,x,x,x,x,x
East Asia and Australasia,1998$ 2000_研,24,Philippines (ASG),1991,2120,x,x,Low,The Abu Sayyaf Group$ ASG$ Moro conflict$ the bombing of Superferry,Separatist Conflict$ Terrorism$ Criminal Violence$ ,80,100,150,7000,x,x,x,x,x
East Asia and Australasia,2001$ 2003$ 2005_研2007$ 2009_研,20,Southeast Asian Islamist Terrorism (SAIT),1995,469,x,x,Low,Southeast Asian Islanmist Terrorism$ Jemaah Islamiah$ Laskar Jihad$ Jamaah Ansharut Tauhid$ JAT ,Terrorism$ ,30,35,9,x,x,x,x,x,x
East Asia and Australasia,2004_研,11,Southern Thailand,2004,4050,35000,x,Medium,South Thailand Insurgency$ Barisan Revolusi Nasional$ BRN$ United Front for the Independence of Pattani$ Gerakan Mujahideen Islam Pattani$ GMIP$ Pattani United Liberation Organisation$ PULO$ Runda Kumpulan Kecil$ RKK ,Separatist Conflict$ Terrorism$,275,250,325,x,35000,35000,x,x,x
Europe,2012,23,Moldova (Transnistria),1992,1001,x,x,Archived,Dniestr Republic$ Transnistria$ Moldova,Separatist Conflict$ ,1,x,x,x,x,x,x,x,x
Europe,1997_研,31,Turkey (PKK),1984,43530,954000,x,Medium,Partiya Karkeren Kurdistan$ Kurdistan Workers' Party$ PKK$ Abdullah Ocalan$ Kurdish-Turkish conflict$ Turkey-PKK conflict,Separatist Conflict$ Terrorism$,800,140,30,1000000,954000,954000,907,518,x
Europe,1997_研2013,46,United Kingdom (Northern Ireland),1969,3678,x,x,Archived,Irish Republican Army$ IRA$ Northern Ireland Conflict$ the Troubles,Separatist Conflict$ Terrorism$ Criminal Violence$ ,4,1,x,x,x,x,x,x,x
Europe,1998_研2014,17,Kosovo,1998,3695,17900 (2013),54230,Archived,Kosovo war$ Kosovo Liberation Army$ KLA$ Kosovo conflict$ Kosovo's conflict,Territorial Conflict$ Separatist Conflict$ ,2,1,1,18000,17900,x,972,476,x
Middle East and North Africa,1997_研1998$ 2000_研,37,Lebanon_研Hizbullah_研Syria,1978,38015,17719,x,Low,Hizbullah$ Hezbollah$ Operation Peace for Galilee$ Palestine Liberation Organization,Territorial Conflict$ Criminal Violence$ Terrorism,120,325,350,55000,44600,17719,15,x,x
Middle East and North Africa,2001_研,15,Israel-Palestine,2000,10915,x,160036,Medium,West Bank$ Gaza$ Operation Protective Edge$ Hamas$ al-Qassam Brigades$ Islamis Jihad$ al-Quds Brigades$ Fatah$ Israeli-Palestinian conflict,Territorial Conflict$ Separatist Conflict$ Terrorism,275,80,2400,160000,x,x,80,2189,x
Middle East and North Africa,2003_研,12,Iraq,2003,145200,1107700,698796,High,Iraq War$ Islamic State of Iraq and the Levant$ ISIL$ ISIS$ Islamic State of Iraq and al-Sham$ al-Qaeda in Iraq$ al-Qaeda-affiliated terrorist attacks$ Sahwa$ Kurdish Peshmerga$ Patriotic Union of Kurdistan$ PUK$ Supreme Council for Islamic Resistance in Iraq$ SCIRI$ Badr Corps$ Kurdish Democratic Party$ KDP$ Mahdi Army$ Islamic Army in Iraq,Terrorism$ Foreign War$ ,2200,8500,18000,1200000,2100000,1107700,20112,19644,x
Middle East and North Africa,2009_研,6,Yemen (Houthis/AQAP/SMM),2009,11350,334100,x,High,Yemen Civil War$ Yemeni Civil War$ Yemen War$ Ali Abdullah Saleh$ Abd Rabbo Mansour Hadi$ Houthi Movement$ Houthis$ Southern Mobility Movement$ SMM$ Al-Qaeda Arabian Peninsula$ AQAP$ Popular Resistance,Civil War$ Terrorism$ Separatist Conflict,2300,950,3750,507000,306964,334100,x,x,x
Middle East and North Africa,2011_研,4,Libya,2011,7100,454000,x,High,Muammar Gadhafi$ Benghazi$ Al-Qaeda in the Islamic Maghred$ GSPC$ Libyan militias$ General National Congress$ GNC$ State of Cyrenaica$ Libyan Civil War$ Libyan Crisis,Foreign War$ Terrorism$ Ethnic Conflict$ Civil War$,850,250,3000,47000,59425,454000,x,x,x
Middle East and North Africa,2011_研,4,Syria,2011,186500,7600000,4867560,High,Syrian Civil War$ Syrian conflict$ Free Syrian Army$ Syrian National Council$ National Coordination Committee$ ISIS$ Islamic State of Iraq and al-Sham,Civil War$ Foreign War$ Terrorism$ ,60000,49000,70000,2000000,6500000,7600000,789944,2231802,x
Middle East and North Africa,2013_研,2,Egypt (Sinai),2013,365,x,x,Medium,Sinai insurgency$ Sinai Peninsula$ Sinai Attack$ Sinai operation,Terrorism$ Criminal Violence$ ,x,225,140,x,x,x,,,x
Russia and Eurasia,1997_研,23,Armenia-Azerbaijan (Nagorno-Karabakh),1992,22210,577292,x,Low,Armenia-Azerbaijan$ Nagorno-Karabakh$ Nagorno-Karabakh war$ Nagorno-Karabakh conflict$ Armenian-Azerbaijani border conflict,Territorial Conflict$ ,25,15,55,600336,608400,577292,39,x,x
Russia and Eurasia,1997_研2001$ 2005_研2010$ 2012,25,Georgia (South Ossetia),1990,1467,257000 (2012),x,Archived,Ossetia,Separatist conflict$ ,2,x,x,x,257000,x,x,x,x
Russia and Eurasia,1998_研2004$ 2006_研2010$ 2012_研2013,23,Georgia (Abkhazia),1992,6127,257000 (2012),x,Archived,Abkhazia,Separatist conflict$ ,8,1,x,x,257000,x,x,x,x
Russia and Eurasia,1999_研2001$ 2004_研,16,Central Asia,1999,1188,70400,x,Low,Central Asia Conflict$ Islamic Movement of Uzbekistan$ IMU$ Islamic movement of Turkestan$ Islamic movement of Tajikistan$ IMT,Criminal violence$ Terrorism$ ,250,10,35,67726,70400,70400,x,x,x
Russia and Eurasia,2014_研,2,Ukraine,2013,9017,x,x,Medium,pro-Russian separatist$ Ukraine conflict$ pro-Russian unrest in Ukraine$ Ukrainian crisis,Separatist conflict$ ,x,x,4700,x,x,x,x,x,x
South Asia,1997_研,23,Afghanistan,1992,143450,667200,x,High,war in Afghanistan$ Taliban$ ISIS$ Islamic State of Iraq and al-Sham$ Taliban insurgency$ Osama bin Laden$ Afghan National Army$ Afghan National Police$ Afghan National Security Froces,Terrorism$ Criminal Violence$ Foreign war$ ,2100,3250,9000,483000,631000,667200,30823,26485,x
South Asia,1997_研,36,India (Assam),1979,12612,82000 (2013),x,Low,Assam separist movements$ 2012 Assam violence$ Assam violence$ Bodo-Muslim conflict$ United Liberation Front of Assam$ Bodo Liberation Tigers$ National Democratic Front of Bodoland,Separatit conflict$ criminal violence$ ,80,50,300,400000,82000,x,x,x,x
South Asia,1997_研,26,India (Manipur),1989,5345,3000 (2013),x,Low,Insurgency in Manipur$ Indo-Burma Revolutionary Front$ IBRF,Separatist conflict$ terrorism$,30,60,55,x,3000,x,x,x,x
South Asia,1997_研,35,India (Naxalites),1980,13350,148000 (2013),x,Medium,India's Maoist insurgency$ Naxalite-Maoist insurgency$ Naxalite movement$ CPI-Maoist$ Naxalite rebellion,terrorism,400,400,300,x,148000,x,x,x,x
South Asia,1997_研,26,India-Pakistan (Kashmir),1989,43220,x,x,Medium,Kashmir Conflict$ Indo-Pakistani War,Foreign War$ Territorial Conflict,60,110,175,x,x,x,x,x,x
South Asia,1997_研,30,Pakistan (Sectarian violence),1985,5535,x,x,Medium,Sectarian violence in Pakistan$ Jundallah$ Tehrik-i-Taliban$ Lashkar-e-Jhangvi,Terrorism,500,600,250,x,x,x,x,x,x
South Asia,1997_研1998$ 2001_研,59,India (Nagaland),1956,5706,x,x,Low,National Socialist Council of Nagalim-Isak Muivah$ NSCN-IM$ National Socialist Council of Nagalim-Khaplang-Kitovi$NSCN-KK$ Ethnic Conflict in Nagaland,Separatist Conflict$ Ethnic Conflict,60,25,15,x,x,x,x,x,x
South Asia,2006_研,12,Pakistan (KPK and Northwest),2003,52940,x,x,High,War in North-West Pakistan$ War in Waziristan$ Battle of Wana$ Battle of Tora Bora$ Waziristan War$ Fourth Generation War$ 4G War$ Islamic Movement of Uzbekistan$ East Turkestan Islamic Movement$ Lal Masjid siege$ Operation Rah-e-Haq$ Operation Zalzala$ Bajaur offensive$ Battle of Bajaur$ Islamabad Marriot Hotel Bombing,Terrorism,3500,1600,3000,x,747000,x,x,x,x
South Asia,2006_研2012$ 2014,30,Pakistan (Balochistan),1985,5535,x,x,Medium,Balochistan Conflict$ Balochistan Liberation Army$ Balochistan rebellion,Separatist conflict,300,x,300,x,x,x,x,x,x
Sub-Saharan Africa,1997_研,19,Democratic Republic of the Congo (DRC),1996,3661025,2756600,938070,Medium,First Congo War$ Second Congo War$ Great War隷of Africa$ African World War$ Great African War$ Kivu Conflict$ Ituri Conflict,Civil War$ Ethnic Conflict,400,650,800,x,2700000,2756600,93545,73917,x
Sub-Saharan Africa,1997_研,23,Mali (The Sahel),1992,198575,86026,456010,Medium,Algerian Civil War$ Northern Mali Conflict$ Taureg rebellion,Terrorism$ Civil War$ Separatist Conflict,175,800,500,230000,80000,86026,143043,66538,x
Sub-Saharan Africa,1997_研,24,Somalia,1991,24350,11077000,38338,High,Somali Civil War$ War in Somalia,Civil War,2250,700,2000,1400000,1133000,1107700,123422,81496,1196
Sub-Saharan Africa,1997_研,32,South Sudan,1983,1843715,1474500,x,High,South Sudanese Civil War$ South Sudanese conflict$ Sudanese conflict$ Sudanese Civil War,Civil War$ Ethnic Conflict,1500,2250,12000,350000,716100,1474500,78650,28467,x
