Conflict/Country Name,Alias/Keywords
Central America (Northern Triangle),Northern Triangle
Colombia,Colombia Conflict$ Colombia Civil Conflict$ Colombia civil war
Peru (Shining Path),Shining Path$ Communist Party of Peru$Peruvian communist party
Mexico (Cartels),Mexican Cartel$ Mexican Trafickers$ Operation Secure Mexico$Mexican drug war$trafficking in Mexico
Myanmar,Internal Conflict in Myanmar$ Saffron Revolution$ Union Solidarity and Development Party$ aung san suu kyi$ National League for Democracy in Myanmar
Philippines (MILF),Moro Islamic Liberation Front$ Basilan Beheading incident$ Mamasapano Clash$ Insurgency in the Philippines$Mamasapano Massacre$ Moro conflict
China (Xinjiang),Xinjiang Conflict$ Xinjiang Unrest$ Xinjiang Violence$ Xinjiang Riots$ Xinjiang Ethnic Tensions
Indonesia (West Papua),Free West Papua$ Free Papua$ Papua Conflict$ Papua Independence
Philippines (NPA),New People's Army$ Communist Party of the Philippines
Philippines (ASG),Abu Sayyaf Group$ bombing of Superferry$ Superferry 14 bombing
Southeast Asian Islamist Terrorism (SAIT),Southeast Asian Islamist Terrorism$ Jemaah Islamiah$ Laskar Jihad$ Jamaah Ansharut Tauhid$ Jemaah Islamiyah
Southern Thailand,South Thailand Insurgency$ Barisan Revolusi Nasional$ United Front for the Independence of Pattani$ Gerakan Mujahideen Islam Pattani$ Bersatu$ Pattani United Liberation Organisation$ Runda Kumpulan Kecil
Moldova (Transnistria),Dniestr Republic$ Transnistria$ Moldova
Turkey (PKK),Partiya Karkeren Kurdistan$ Kurdistan Workers' Party$ Abdullah Ocalan$ Kurdish Turkish conflict$ Turkey PKK conflict$ PKK rebellion$ Kurdish-Turkish conflict$ Turkey-PKK conflict$ PKK rebellion
United Kingdom (Northern Ireland),Irish Republican Army$ Northern Ireland Conflict$ the Troubles
Kosovo,Kosovo war$ Kosovo Liberation Army Kosovo conflict$ Kosovo's conflict
Lebanon-Hizbullah-Syria,Hizbullah$ Hezbollah$ Operation Peace for Galilee$ Palestine Liberation Organization
Israel-Palestine,West Bank$ Gaza$ Operation Protective Edge$ Hamas$ al-Qassam Brigades$ Islamis Jihad$ al-Quds Brigades$ Fatah$ Israeli-Palestinian conflict$al Qassam Brigades$ al Quds Brigades$ Fatah$ Israeli Palestinian conflict
